Alaska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Date","Value","Rank","1925-2000 Mean","Anomaly (1925-2000 base period)"
AK-013,"Aleutians East Borough",195712,22.6,12,26.6,-4.0
AK-013,"Aleutians East Borough",195801,22.1,22,25.2,-3.1
AK-013,"Aleutians East Borough",195802,28.0,59,25.3,2.7
AK-013,"Aleutians East Borough",195803,32.5,84,27.3,5.2
AK-013,"Aleutians East Borough",195804,36.2,81,32.3,3.9
AK-013,"Aleutians East Borough",195805,39.2,50,39,0.2
AK-013,"Aleutians East Borough",195806,45.4,42,45.5,-0.1
AK-013,"Aleutians East Borough",195807,49.0,15,50.2,-1.2
AK-013,"Aleutians East Borough",195808,50.2,17,51.4,-1.2
AK-013,"Aleutians East Borough",195809,47.1,53,46.9,0.2
AK-013,"Aleutians East Borough",195810,38.4,45,38.3,0.1
AK-013,"Aleutians East Borough",195811,31.1,35,31.7,-0.6
AK-013,"Aleutians East Borough",195812,28.1,56,26.6,1.5
AK-013,"Aleutians East Borough",195901,25.0,45,25.2,-0.2
AK-013,"Aleutians East Borough",195902,30.2,75,25.3,4.9
AK-013,"Aleutians East Borough",195903,17.2,3,27.3,-10.1
AK-013,"Aleutians East Borough",195904,30.2,16,32.3,-2.1
